titreOriginal,anneeSortie,langue,genre
Come And Get It,1936,,
Theodora Goes Wild,1936,,
Pigskin Parade,1936,,
Camille,1936,,
Flash Gordon,1936,,
Lost Horizon,1937,,
Marked Woman,1937,,
Star Is Born,1937,,
Night Must Fall,1937,,
Easy Living,1937,,
Life Of Emile Zola,1937,,
Topper,1937,,
Prisoner Of Zenda,1937,,
Power And The Glory,1933,,
Footlight Parade,1933,,
I'M No Angel,1933,,
Counsellor At Law,1933,,
Tragedy Of Othello : The Moor Of Venice,1952,Anglais,
Going Hollywood,1933,,
It Happened One Night,1934,,
Gambling Lady,1934,,
Sleepwalkers,1992,,
Abîme Du Rêve,1989,Français,Documentaire
Au Chic Resto Pop,1990,Français,Documentaire
Alias Will James,1988,Français,Aventure
Chronique D'Un Temps Flou,1988,Français,Documentaire
Divina Comedia,1991,,
Johnny Stecchino,1991,,
Céline,1992,,
Pas De Répit Pour Mélanie,1990,Français,
Belle Histoire,1991,Français,
Loulou Graffiti,1991,,
Rome Roméo,1991,,
Rush,1992,,
"Hush-A-Bye, Baby",1989,Anglais,
Addams Family,1991,,
Johnny Suede,1991,,
Toutes Peines Confondues,1991,Français,
"Hanna Monster, Liebling",1989,,
Nous Deux,1992,Français,
"Truly, Madly, Deeply",1991,,
Chère Amérique,1990,Français,Documentaire
Bronenosec Potemkin,1925,Russe,Autres
Stachka,1925,,Autres
Arsenal,1929,,Autres
Viva Villa!,1934,,Aventure
Twentieth Century,1934,,
"Little Man, What Now?",1934,,
Cleopatra,1934,,Historique
Menace,1934,,
Barretts Of Wimpole Street,1934,,
Folies-Bergère,1935,,
Whole Town'S Talking,1935,,
Mississippi,1935,,
Booth Tarkington'S Alice Adams,1935,Anglais,
Naughty Marietta,1935,,
Let 'Em Have It,1935,Anglais,
Peter Ibbetson,1935,,
Hands Across The Table,1935,,
Mutiny On The Bounty,1935,,
Dangerous,1935,,
Captain Blood,1935,,
Petrified Forest,1936,,
Great Ziegfeld,1936,,
Desire,1936,,
Fury,1936,,
Swing Time,1936,,
Woman Under The Influence,1974,,
Diable Probablement,1977,,
Indochine,1991,Français,
Sam Suffit,1992,Français,
Babe,1992,,
Heidi,1937,,
Hurricane,1938,,
I Met My Love Again,1938,Anglais,
Slight Case Of Murder,1938,,
Bringing Up Baby,1938,Anglais,
Alexander'S Ragtime Band,1938,,
You Can'T Take It With You,1938,,
Young In Heart,1938,,
Marie-Antoinette,1938,,
Angels With Dirty Faces,1938,,
Suez,1938,,
Idiot'S Delight,1939,,
Stagecoach,1939,Anglais,
Midnight,1939,,
Golden Boy,1937,,
Old Maid,1939,,
Babes In Arms,1939,,
Union Pacific,1939,,
Ninotchka,1939,,
Light That Failed,1939,,
Hunchback Of Notre Dame,1939,Anglais,
C'Era Una Volta Il West,1968,,Aventure
Seppuku,1963,Japonais,Autres
Empire Strikes Back,1980,,
Star Wars,1977,,
Jaws,1975,Anglais,
E.T. The Extra-Terrestrial,1982,,
Raiders Of The Lost Ark,1981,,
Tess,1979,Anglais,
Far From The Madding Crowd,1967,,
Born Free,1966,,
Children'S Hour,1961,Anglais,
Little Foxes,1941,,
Vangelo Secondo Matteo,1964,Italien,Historique
Mishima,1985,Anglais,
Journey To The Center Of The Earth,1959,,
Poseidon Adventure,1972,,
Cleopatra,1963,,Historique
Fantastic Voyage,1966,,
Boston Strangler,1968,,
Dr. Dolittle,1967,,
Butch Cassidy And The Sundance Kid,1969,,Aventure
Alphaville,1965,Français,
Passion,1982,Allemand,
Homme Atlantique,1981,Français,
Shoah,1985,,Documentaire
J'Accuse,1919,,
Rose-France,1919,,
Homme Du Large,1920,Muet,
Eldorado,1921,,
Fièvre,1921,,
Femme De Nulle Part,1922,,
Roue,1922,,
Inondation,1924,,
Auberge Rouge,1923,,
Coeur Fidèle,1923,,
Brasier Ardent,1923,,
Fille De L'Eau,1924,,
Paris Qui Dort,1923,,
Inhumaine,1924,,Aventure
Ménilmontant,1924,,
Rien Que Les Heures,1926,,
En Rade,1927,,
Invitation Au Voyage,1927,,Autres
Entr'Acte,1924,,Autres
Après L'Amour,1992,,
Hollywood Mistress,1991,,
Deceived,1991,,
Kabinet Des Dr. Caligari,1920,,
Raisin In The Sun,1961,,
"Roma, Città Aperta",1945,Allemand,
Mesrine,1984,,
Towering Inferno,1974,,
Logan'S Run,1976,,
Lost World,1960,Anglais,Aventure
Voyage To The Bottom Of The Sea,1961,,
Tora! Tora! Tora!,1970,,
Deer Hunter,1978,,
Apocalypse Now,1979,,
African Queen,1952,Allemand,
Night Of The Hunter,1955,,
Jour De Fête,1949,Français,
Quartier Mozart,1991,,
Feu Mathias Pascal,1925,,
Maldone,1928,,
Image,1926,,
6 1/2 X 11,1927,,
Glace À Trois Faces,1927,,
Chute De La Maison Usher,1928,,
Petite Marchande D'Allumettes,1928,,Autres
Un Chien Andalou,1929,,Autres
Passion De Jeanne D'Arc,1928,,
Finis Terrae,1929,,
Gardiens De Phare,1929,,
Moj Drug Ivan Lapsin,1985,,
Cucelo,1984,,
Hapax Legomena 1 : Nostalgia,1971,,
Albédo,1982,Français,
Jetée,1963,,
Dark Mirror,1946,Anglais,
Snake Pit,1949,,
Double Indemnity,1944,,
Lady In The Lake,1946,,
"Murder, My Sweet",1945,,Crime
2001 : A Space Odyssey,1968,,
"Dr Strangelove : Or, How I Learned To Stop Worrying And Love The Bomb",1964,,
Paths Of Glory,1957,,
Barry Lyndon,1975,,Historique
Lolita,1962,,
Killing,1956,,
2 Ou 3 Choses Que Je Sais D'Elle,1967,Français,
Madame De...,1953,,
Lucia,1969,,
Mädchen In Uniform,1931,,
"Jeanne Dielman 23, Quai Du Commerce, 1080 Bruxelles",1975,,
Fiancée Du Pirate,1969,,
Moderato Cantabile,1960,Français,
Accattone,1961,,
Edipo Re,1967,Italien,
Sarrasine,1992,Français,
Metropolis,1927,,Sf
Applause,1930,,
American In Paris,1951,,
Gigi,1958,,
Pirate,1948,,
Gattopardo,1963,,Historique
Sea Wolf,1941,,
Vent De La Toussaint,1989,,
Gamine,1992,Français,
Settimana Della Sfinge,1991,,
Ucieczka Z Kina << Wolnosc >>,1990,,
Sans Un Cri,1992,Français,
Night They Raided Minsky'S,1968,,
Birthday Party,1968,,
Boys In The Band,1970,,
French Connection,1971,,
Exorcist,1973,,
Sorcerer,1977,,
Brink'S Job,1978,,
Cruising,1980,Anglais,
Deal Of The Century,1983,,
To Live And Die In L.A.,1985,,
Rampage,1987,,
Guardian,1990,,
Good Times,1967,,
Blaue Engel,1930,Allemand,
Detstvo Gor'Kogo,1938,,
Ladri Di Biciclette,1948,,
Merlusse,1935,,
Dernières Vacances,1948,,
Walk In The Sun,1946,,
El Dorado,1967,,Aventure
Sniper,1952,,
Palmy Days,1931,,
Per Un Pugno Di Dollari,1964,,Aventure
Green Berets,1968,,
Watership Down,1978,Anglais,
Mirror Crack'D,1980,,
Sands Of Iwo Jima,1949,,
Eight Iron Men,1952,,
Whoopee!,1930,,
Hollywood Party,1934,,
Diplomaniacs,1933,Anglais,
Ghostbusters,1984,,
Per Qualche Dollaro In Più,1965,,Aventure
"Buono, Il Brutto, Il Cattivo",1966,,Aventure
To Kill A Mockingbird,1962,,
Baby The Rain Must Fall,1965,,
Chase,1966,,
Tomorrow,1972,,
Bix,1991,,Documentaire
Ben Hur,1959,,Historique
Birdy,1984,,
Missing,1982,Anglais,
Thunderheart,1992,,
Incident At Oglala,1992,,
Pas D'Amitié À Moitié,1991,Français,Documentaire
Allemagne Neuf Zéro,1991,,
Montréal Vu Par... Six Variations Sur Un Thème,1991,Français,
Xénofolies,1991,Français,Documentaire
Nelligan,1991,Français,
Vie Fantôme,1992,Français,
Sauf-Conduits,1991,Français,
Coup Suprême,1991,,
Knight Moves,1991,Anglais,
My Cousin Vinny,1991,,
Su-Varnarekha,1962,,
Howards End,1992,,
Opening Night,1978,,
Retour De Casanova,1992,Français,
Patrick Dewaere,1992,,Documentaire
Zamri-Umri-Voskresni,1990,,
Sentinelle,1992,,
Confessions D'Un Barjo,1991,Français,
Under Suspicion,1991,,
Freejack,1991,,
Time Bomb,1991,,
Nightbreed,1990,,
Hors La Vie,1991,Français,
Gold Diggers Of 1933,1933,,
Mains D'Orlac,1961,,
Teenage Mutant Ninja Turtles,1990,,
Midnight Clear,1992,,
Ladro Di Bambini,1992,,
Léolo,1992,Français,
Luna Park,1991,Sans paroles,Autres
Contre L'Oubli,1991,Français,Autres
Adventures Of Baron Münchausen,1988,Anglais,Aventure
Pablo Qui Court,1991,Français,
My Beautiful Laundrette,1985,,
Sammy And Rosie Get Laid,1987,,
Everybody Wins,1990,Anglais,
Nido,1979,Anglais,
Hora Bruja,1985,,
Stico,1984,,
Mi General,1987,Espagnol,
Zangiku Monogatari,1939,,
Genroku Chûshingura,1941,Japonais,
Bir Yudum Sevgi,1984,,
Kadinin Adi Yok,1987,,
Kirik Bir Ask Hikâyesi,1981,,
On Kadin,1987,,
Twin Peaks Fire Walk With Me,1991,,Crime
Khaneh-Je Doost Kojast,1989,,
Vincennes-Neuilly,1991,,
I Was On Mars,1991,,
Object Of Beauty,1992,,
Homme De Ma Vie,1992,,
Au Pays Des Juliets,1992,,
Chitty Chitty Bang Bang,1968,,
Babes In Toyland,1961,,
Wizard Of Oz,1939,,Autres
Hans Christian Andersen,1952,,
"5,000 Fingers Of Dr. T.",1953,Anglais,Autres
Tom Thumb,1958,Anglais,Autres
Mary Poppins,1964,,
Pufnstuf,1970,,
Willy Wonka And The Chocolate Factory,1971,,
Bedknobs And Broomsticks,1971,,Animation
Alice'S Adventures In Wonderland,1972,,
Little Prince,1974,Anglais,
Slipper And The Rose,1976,,
Pete'S Dragon,1977,,Animation
Anges Du Péché,1943,,
À Nous La Liberté,1931,,
Brief Encounter,1946,Anglais,
Fugitive,1947,Anglais,
Farrebique,1946,,Documentaire
Grande Illusion,1937,Allemand,
Hamlet,1948,,
Man In The White Suit,1951,,
Odd Man Out,1947,,
Louisiana Story,1948,,
Mariage De Chiffon,1941,,
Browning Version,1951,,
Overlanders,1946,,
Passport To Pimlico,1949,,
Quattro Passi Fra Le Nuvole,1942,,
How Green Was My Valley,1941,,
Sciuscià,1946,,
Ghost Goes West,1935,Anglais,
Grapes Of Wrath,1940,Anglais,
Vivere In Pace,1947,Anglais,Comédie
Maudite Galette,1972,Français,Historique
New York Stories,1989,Anglais,
Thé Au Harem D'Archimède,1984,,
Viaje,1992,,
Dark At Noon,1991,,
Pather Panchali,1955,,
Wonder Bar,1934,,
Tune In Tomorrow,1990,Anglais,Comédie
Reine Blanche,1991,,
You Only Live Once,1937,,
You And Me,1938,,
Return Of Frank James,1940,,Aventure
Western Union,1941,,Aventure
Man Hunt,1941,Allemand,
Hangmen Also Die,1943,,
Woman In The Window,1945,,
Scarlet Street,1945,,
Cloak And Dagger,1946,,
Clash By Night,1952,,
Big Heat,1953,Anglais,
Human Desire,1954,,
Moonfleet,1955,,
While The City Sleeps,1956,,
Stop Or My Mom Will Shoot,1992,,
Ludwig,1973,,Historique
Desert Victory,1943,Anglais,Documentaire
Catchfire,1989,,
Gold Diggers Of 1935,1935,,
Entraînement Du Champion Avant La Course,1990,,
Hearts Of Darkness,1991,,
Années Campagne,1992,,
Mission To Moscow,1943,,
Stage Door Canteen,1943,,
Prelude To War,1943,Anglais,Documentaire
More The Merrier,1943,,
Hail The Conquering Hero,1944,,
Raduga,1944,,
Battle Of San Pietro,1944,Anglais,Documentaire
Story Of G.I. Joe,1945,,
Miracle Of Morgan'S Creek,1943,,
To Have And Have Not,1944,,
Meet Me In St. Louis,1944,,
Tree Grows In Brooklyn,1945,,
Picture Of Dorian Gray,1945,,
Clock,1945,,
Southerner,1945,,
Lost Weekend,1945,,
Best Years Of Our Lives,1946,,
Unconquered,1947,,Aventure
Treasure Of The Sierra Madre,1948,,
Far And Away,1992,,
Fille Du Puisatier,1940,,
Espoir,1939,,Historique
Zéro De Conduite,1933,Français,
Atalante,1934,Français,
Vredens Dag,1943,Danois,
Henry V,1944,Anglais,
Patriot Games,1992,,
Ivan Groznyj 1,1945,,Historique
Il Était Une Fois Dans L'Est,1974,Français,
Deserto Rosso,1964,,
Un Léger Vertige,1991,Français,
Kalamazoo,1988,Français,
Clara'S Heart,1988,,
Three Fugitives,1989,,
Mystery Train,1989,Anglais,
Rosalie Goes Shopping,1989,Allemand,
Vincent And Theo,1990,,
Valmont,1989,,
Je T'Ai Dans La Peau,1990,,
Working Girl,1988,,
Milagro Beanfield War,1987,,
Monsieur,1989,,
Monsieur Hire,1989,Français,
Un Monde Sans Pitié,1989,Français,
Route One / Usa,1989,Anglais,Documentaire
Trop Belle Pour Toi,1989,Français,
Urgences,1988,,
Vie Et Rien D'Autre,1989,Français,
Viridiana,1961,Espagnol,
Wall Street,1987,,
Ip5,1992,,
Bezness,1992,,
Batman Returns,1992,,
Sister Act,1992,,
Et Demain... Hollywood,1992,,
Rey Pasmado,1991,,
Jersey Girls,1991,,
Father Of The Bride,1991,,
Wuge Nuzi He Yigen Shengzi,1991,,
Whore,1991,,
Mutronics,1992,,
Medicine Man,1991,,
Zèbre,1992,,
Versailles Rive Gauche,1991,,
Always,1989,,
Misery,1990,,
"René Dumont, Citoyen De La Planète",1992,,
"Golem, L'Esprit De L'Exil",1992,,
Arsène Lupin Détective,1937,,
Torch Song Trilogy,1989,,
Lady Be Good,1941,,
Cheb,1990,,
Shock To The System,1990,,
Straw Dogs,1971,,
Once Upon A Time In America,1984,,
Godfather,1972,,
Paisà,1946,Italien,
Plow That Broke The Plains,1936,,Documentaire
River,1937,,Documentaire
Point Of Order,1964,Anglais,Documentaire
Rush To Judgment,1967,Anglais,Documentaire
In The Year Of The Pig,1969,Anglais,Documentaire
Godfather 3 : The Continuing Story,1990,,
Oktjabr',1928,Russe,
Staroe I Novoe,1929,,Autres
Amuleto De Ogum,1974,Portugais,
Tenda Dos Milagres,1977,Polonais,
Tudo Bem,1978,,
Chuvas De Verão,1978,,
Homem Que Virou Suco,1981,Polonais,
Rendez-Vous D'Anna,1978,,
Broken Arrow,1950,,
North Star,1943,,
King Kong,1933,,
Night In Casablanca,1946,Anglais,
Night At The Opera,1935,Anglais,
Duck Soup,1933,,
Cocoanuts,1929,,
Pull My Daisy,1960,Anglais,
Shadows,1959,Anglais,
Love Happy,1949,Anglais,
49Th Parallel,1941,,
Next Of Kin,1942,,
Thunder Rock,1942,,
Western Approaches,1944,,
Way To The Stars,1945,,
Monkey Business,1931,,
Horse Feathers,1932,,
Day At The Races,1937,,
Room Service,1938,,
At The Circus,1939,,
Go West,1940,,Aventure
Jazz On A Summer'S Day,1960,,Autres
India Song,1975,Français,
Native Land,1942,Anglais,Autres
Magnificent Ambersons,1942,Anglais,
Let George Do It,1940,,
On The Bowery,1956,,
Big Store,1941,,
Young Mr. Pitt,1942,,
Alien,1979,,
Carrie,1976,,
Friday The 13Th,1980,,
Giant,1956,,Aventure
Night Of The Living Dead,1968,Anglais,
Re-Animator,1985,,
Rebel Without A Cause,1955,Anglais,
Rosemary'S Baby,1968,,Sf
Shane,1953,,Aventure
Nosferatu : Phantom Der Nacht,1979,,Sf
Une Partie De Campagne,1946,Français,
Rocky Horror Picture Show,1975,,
Them,1954,,
Thing,1982,,
On The Beach,1959,,
Madame Bovary,1934,,
Regain,1937,,
Femme Du Boulanger,1938,Français,
East Of Eden,1955,,
Hellraiser,1987,,
Evil Dead,1981,Anglais,
Hills Have Eyes,1978,,
Xala,1974,,
Mandabi,1968,,Comédie
Noire De...,1965,,
Sarzan,1963,,
Malle De Maka-Koli,1967,,
Karim,1971,,
Boubou-Cravate,1973,,
Day After The Fair,1986,,
Klondike Annie,1936,,
Romeo And Juliet,1968,,
King Lear,1971,,
Elmer Gantry,1960,,
Platoon,1986,,
Salvador,1986,Anglais,
Sign Of The Cross,1932,,
Singin' In The Rain,1952,Anglais,
Sullivan'S Travels,1942,,
Robe,1953,,
Tender Mercies,1982,,
Nightmare On Elm Street 3 : Dream Warriors,1987,,
Nightmare On Elm Street 4 : The Dream Master,1988,,
Nightmare On Elm Street 5 : The Dream Child,1989,,Sf
Nightmare On Elm Street,1984,,
"Nightmare On Elm Street, Part 2 : Freddy'S Revenge",1985,,
Nightmare On Elm Street [...],1984,,
Sea Beast,1926,,
Machorka-Muff,1963,,
Chronik Der Anna Magdalena Bach,1968,Allemand,
Tod Des Empedokles,1987,,
Moses Und Aron,1975,,
Paul Cézanne Im Gespräch Mit Joachim Gasquet,1989,,Documentaire
Yeux Ne Veulent Pas En Tout Temps Se Fermer,1969,,
Klassenverhältnisse,1984,,
Colosso Di Rodi,1961,,
Hell'S Hinges,1916,,
Sergeant York,1941,,Historique
Lies My Father Told Me,1975,Anglais,
Manslaughter,1930,,
Giù La Testa,1971,,Aventure
Trop Tôt Trop Tard,1981,,
Toute Révolution Est Un Coup De Dés,1977,,
Nicht Versöhnt Oder Es Hilft Nur Gewalt Wo Gewalt Herrscht,1965,,
Schwarze Sünde,1989,,
Geschichtsunterricht,1972,,
Einleitung Zu Arnold Schoenbergs << Begleitmusik Zu Einer Lichtspielscene >>,1972,,
Fortini/Cani,1977,,
"Bräutigam, Die Komödiantin Und Der Zuhälter",1968,,
Dalla Nube Alla Resistenza,1979,,
Interiors,1978,,
Annie Hall,1977,,
Manhattan,1979,,
Stardust Memories,1980,,
Sunrise,1927,,
Shampoo,1975,,
Ultimo Tango A Parigi,1972,,
Violin,1975,,
Steak,1992,Français,Documentaire
Aujourd'Hui Peut-Être...,1991,,
White Sands,1992,,
Goonies,1985,,
Gorillas In The Mist,1988,,
Lethal Weapon 3,1992,,
Ordet,1955,Danois,Drame
Gertrud,1964,Danois,
Âge D'Or,1930,Français,
Alice'S Restaurant,1969,,
All That Heaven Allows,1955,,
American Graffiti,1973,,
Badlands,1973,Anglais,
Breaking Away,1979,,
It'S A Wonderful Life,1946,,
Invasion Of The Body Snatchers,1956,Anglais,
Doctor Bull,1933,,
Country,1984,,
Last Picture Show,1971,,
Jeremiah Johnson,1972,,Aventure
River'S Edge,1986,,
Places In The Heart,1984,,
Norma Rae,1979,,
Member Of The Wedding,1952,,
Young Mr. Lincoln,1939,Anglais,
Thieves Like Us,1974,,
Sugarland Express,1974,,
Stand By Me,1986,,
Splendor In The Grass,1961,,
Why We Fight,1942,,Historique
Star Trek 2 : The Wrath Of Khan,1982,,
Star Trek 3 : The Search For Spock,1984,,
Star Trek,1979,,
Star Trek 4 : The Voyage Home,1986,,
Little Nemo,1910,,Animation
Automne,1972,,
Doc Hollywood,1991,,
Taking Of Beverly Hills,1991,,Action
Rock-A-Doodle,1992,,
Beethoven,1992,,
Dark Wind,1992,,
Killing Of A Chinese Bookie,1976,,
Retour Des Charlots,1991,,
Roman D'Un Truqueur,1991,,
Becoming Colette,1991,,
American Me,1992,,
Room Service,1992,,
My Girl,1991,,
Lawnmover Man,1992,,
Domenica Specialmente,1991,Italien,
Two Evil Eyes,1990,Anglais,
Book Of Love,1991,,
Kimurake No Hitobito,1988,Japonais,
Prelude To A Kiss,1992,,
Things Change,1989,,
Mystery Of The Wax Museum,1933,,Sf
Rocky 5,1990,,
Tempesta,1958,,
Kill Me Again,1989,,
Homme Sur Les Quais,1993,Français,
Fritz The Cat,1972,,Animation
Au P'Tit Zouave,1949,,
Without A Clue,1988,,
Run For Your Life,1988,,
Dernier Combat,1981,Français,
Gladiator,1992,Anglais,
Illegally Yours,1988,,
War Party,1988,,
True Stories,1986,,
Trip To Bountiful,1985,Anglais,
Zendegi Va Digar Hich,1992,,
Amiche Del Cuore,1992,,
People Versus Paul Crump,1962,,
Seni Kalbime Gömdüm,1982,,
Daginik Yatak,1984,,
Gizli Duygular,1984,,
Halkali Köle,1986,,
Dünden Sonra Yarindan Önce,1987,,
Vojna I Mir,1968,,Historique
Kawanakajima Gassen,1941,,
Mourir À 30 Ans,1982,,
Asfour Stah,1990,,
Iemitsu To Hikozaemon,1941,,
Abe Ichizoku,1938,,
Bonfire Of The Vanities,1990,,
Why Rock The Boat?,1974,Anglais,
All The President'S Men,1976,,
Network,1976,,
Rocky,1976,,
Islands In The Stream,1976,,
Vérités Et Mensonges,1975,Anglais,Documentaire
Janis,1974,Anglais,Documentaire
Macarthur,1977,,
Day Of The Locust,1975,,
Eyes Of Laura Mars,1978,Anglais,
Coup Pour Coup,1971,,
Note Bleue,1991,,
Nuits Moscovites,1934,,
Sarraounia,1984,,
Terminator,1984,,
Samostoiatelnaia,1992,,
Liebe Auf Den Ersten Blick,1992,,
Alias Nick Beal,1949,,
Boomerang,1947,,
Bulldog Drummond Comes Back,1937,,
Dad'S Army,1971,,
Dawn Patrol,1938,,
Face At The Window,1939,,Sf
Fire Over England,1936,,
G-Men,1935,,
Goodbye Mr. Chips,1939,Anglais,Drame
Grand Hotel,1932,,
Here Comes Mr. Jordan,1941,,
House On 92Nd Street,1945,,
It'S In The Bag,1945,,
Keep Fit,1937,,
Adam'S Rib,1949,,
Escape,1940,,
Fallen Idol,1948,,
Father Of The Bride,1950,,
Gang'S All Here,1943,,
Heaven Can Wait,1943,,
Great Lie,1941,,
Mark Of Zorro,1940,,Aventure
Lady Killer,1933,,
Spiral Staircase,1945,,Sf
Unfaithfully Yours,1948,Anglais,
Night Of The Demon,1957,,
Seventh Veil,1945,,
Lady Eve,1941,,
Last Flight,1931,,
Laura,1944,Anglais,
Lodger,1944,,
Mask Of Fu Manchu,1932,,
Ministry Of Fear,1944,,
Nothing Sacred,1937,,
Now Voyager,1942,,
On The Town,1949,,
One Hour With You,1932,,
Shop Around The Corner,1940,Anglais,
Uninvited,1943,,Sf
White Heat,1949,,
Winslow Boy,1948,,
Witness For The Prosecution,1958,,
Night Train To Munich,1940,,
Stormy Weather,1943,,
Yankee Doodle Dandy,1942,,
Summer Madness,1955,,
Show Business,1944,,
Secret Life Of Walter Mitty,1947,,
Roxie Hart,1942,,
Quatermass Xperiment,1955,,
Private'S Progress,1956,,
Paleface,1948,,Aventure
Night My Number Came Up,1954,,
My Learned Friend,1943,,
My Favorite Blonde,1942,,
Mr. Moto'S Last Warning,1939,,
Mask Of Dimitrios,1944,,
Man Who Could Work Miracles,1936,,Sf
Major Barbara,1941,,
Enforcer,1976,,
Enforcer,1951,,
Draughtsman'S Contract,1983,Allemand,
Belly Of An Architect,1987,,
Sous Le Soleil De Satan,1987,,
I'Ve Heard The Mermaids Singing,1987,Anglais,
Molly Maguires,1969,,
Matewan,1987,,
F.I.S.T.,1978,,
Silkwood,1983,,
Nine To Five,1980,Anglais,Comédie
British Sounds,1969,,
Analogies,1979,,
Stranger Than Paradise,1982,,
Slow Moves,1984,,
Sympathy For The Devil,1968,Anglais,Documentaire
Sango Malo,1991,,
Sup De Fric,1991,,
Curly Sue,1991,,
Video Kid,1989,,
Universal Soldier,1991,,
Othello,1980,,
Third Day,1965,,
Rise And Fall Of Legs Diamond,1960,,
Back To The Future 3,1990,,
She Done Him Wrong,1933,,
Dom Za Vesanje,1988,Roumain,
Wild Life,1984,,
Downtown,1990,,
G.I. Blues,1960,,
Hairspray,1987,,
True Believer,1988,,
Blade Runner,1982,,
Poil De Carotte,1972,Français,
Mes Petites Amoureuses,1974,,
Femmes Au Soleil,1974,,
Oiseau Rare,1973,,
Kramer Vs Kramer,1979,Anglais,
Cambio De Sexo,1977,Espagnol,
Gold,1974,,
Fiddler On The Roof,1971,Anglais,
Wild Racers,1968,,
Cockfighter,1974,,
Blue Lagoon,1980,,
My Man Godfrey,1957,,
Days Of Heaven,1978,Anglais,
Vie Devant Soi,1977,,
Goin' South,1978,Anglais,Aventure
Gentleman Tramp,1975,,
Gueule Ouverte,1974,,
Genou De Claire,1970,,
Collectionneuse,1967,Français,
"Amour, L'Après-Midi",1972,,
Marquise Von O...,1975,Allemand,
Perceval Le Gallois,1979,Français,
"Koko, Le Gorille Qui Parle",1978,Français,Documentaire
More,1969,Allemand,
Maîtresse,1975,Français,
General Idi Amin Dada : Autoportrait,1974,,Documentaire
Vallée,1972,Français,
Étoile Du Sud,1969,,
Chant Du Monde,1965,,
Un Roi Sans Divertissement,1963,,
Grands Chemins,1963,,
Crésus,1960,,
Duchesse,1958,,
Foulard De Smyrne,1958,,
Eau Vive,1958,,
Bout De La Route,1949,,
Du Skal Aere Din Hustru,1925,,
Blade Af Satans Bog,1919,,
Let Him Have It,1991,Anglais,
Triplex,1990,,
Je L'Ai Été Trois Fois,1952,,
Westerner,1940,,Aventure
Major League,1989,,
Gun Crazy,1950,,
Freshman,1990,Anglais,Comédie
Blaue Licht,1932,,
Unforgiven,1992,Anglais,Aventure
Centre Georges-Pompidou (Beaubourg),1977,,
Murder Of Quality,1991,,
Aux Yeux Du Monde,1990,Français,
City Of Joy,1992,,
Missing In Action,1984,,
Coming Home,1978,,
Cutter And Bone,1981,,
Hearts And Minds,1974,,
First Blood,1982,,
Patriotin,1979,Allemand,
Ehe Der Maria Braun,1979,Allemand,
Hitler - Ein Film Aus Deutschland,1977,,
Hamlet,1969,,
Dear America : Letters Home From Vietnam,1987,,
Family Viewing,1987,Anglais,
Last Of The Mohicans,1992,,
Un Été Sans Histoires,1992,,
Agantuk,1992,,
Ballad Of The Sad Café,1992,,
Peste,1992,Anglais,
Antigone Des Sophokles Nach Der Hölderlinschen Ubertragung Für Die Bühne Bearbeitet Von Brecht,1991,,
"Moi, Général De Gaulle...",1990,,
Criminal,1960,Anglais,
